iter	RMSE
0	0.3654569067
1	0.3644151077
2	0.3634030446
3	0.3625102753
4	0.3618195591
5	0.3610851943
6	0.360384435
7	0.3597715537
8	0.3594171725
9	0.3589393295
10	0.3585200569
11	0.3581597345
12	0.3579087474
13	0.3576311434
14	0.357357775
15	0.357075289
16	0.3568250642
17	0.3566371775
18	0.3564373298
19	0.3562459145
20	0.3561164783
21	0.3559594474
22	0.3558295763
23	0.3557025886
24	0.3555971684
25	0.3555001928
26	0.3554310109
27	0.3553318278
28	0.3552156806
29	0.355155672
30	0.3550861334
31	0.3550567695
32	0.3549919891
33	0.3549332886
34	0.3548792254
35	0.3547724672
36	0.3546835027
37	0.3546296099
38	0.3545637969
39	0.3545286362
40	0.3544662747
41	0.3544367919
42	0.35443429
43	0.3544010742
44	0.3543673849
45	0.3543475617
46	0.3543061386
47	0.3543037814
48	0.3542715121
49	0.3542296738
50	0.3542166069
51	0.3541555202
52	0.3541417986
53	0.3541417366
54	0.3541145873
55	0.3540697055
56	0.3540629169
57	0.3540551715
58	0.3540285911
59	0.3540186873
60	0.3539819174
61	0.3539662282
62	0.3539577119
63	0.3539422237
64	0.3539140324
65	0.3538604892
66	0.3538373192
67	0.3538193948
68	0.3538133202
69	0.3537980099
70	0.3537917801
71	0.3537302892
72	0.3537224297
73	0.3536517947
74	0.3536517947
75	0.3536334159
76	0.3536243611
77	0.3536068109
78	0.353586232
79	0.3535755789
80	0.3535622997
81	0.3535339519
82	0.3535159331
83	0.3534981026
84	0.3534849248
85	0.353475633
86	0.3534616078
87	0.353457343
88	0.3534332195
89	0.3534250377
90	0.3534237682
91	0.3534237682
92	0.3534236958
93	0.3534083473
94	0.353365292
95	0.3533573477
96	0.3533500685
97	0.3533415912
98	0.3533372306
99	0.3533318719
100	0.3533307787
101	0.3532941676
102	0.3532828729
103	0.3532676846
104	0.3532608044
105	0.3532540492
106	0.3532539741
107	0.3532284385
108	0.3532236241
109	0.3532004539
110	0.3531979536
111	0.3531851073
112	0.3531723411
113	0.3531541874
114	0.353145639
115	0.3531226201
116	0.3531073618
117	0.3531051124
118	0.3531046766
119	0.3530997941
120	0.3530916834
121	0.3530865237
122	0.3530804706
123	0.35307316
124	0.35307316
125	0.3530569546
126	0.3530484539
127	0.3530305063
128	0.3530138633
129	0.3530054562
130	0.3529934862
131	0.3529818282
132	0.3529687394
133	0.352966726
134	0.3529620496
135	0.3529509409
136	0.3529187354
137	0.3528924636
138	0.3528892152
139	0.3528811717
140	0.352864673
141	0.3528632791
142	0.352845194
143	0.3528032375
144	0.3527996124
145	0.352798951
146	0.3527982354
147	0.3527883137
148	0.3527518277
149	0.3527274934
150	0.3527128331
151	0.3527030302
152	0.3526946442
153	0.352689503
154	0.352684734
155	0.3526792597
156	0.3526709524
157	0.3526625839
158	0.352653237
159	0.3526332117
160	0.3526244587
161	0.3526113635
162	0.3525907184
163	0.3525788198
164	0.3525744096
165	0.3525692092
166	0.3525548395
167	0.3525242023
168	0.3525188885
169	0.3525188153
170	0.3525154329
171	0.3525002656
172	0.3524976482
173	0.352476424
174	0.3524763938
175	0.3524670941
176	0.3524586141
177	0.3524565488
178	0.3524462873
179	0.3524430738
180	0.3524253137
181	0.3524049697
182	0.3523921617
183	0.3523845484
184	0.3523840667
185	0.3523373462
186	0.3523056628
187	0.3522828878
188	0.3522707992
189	0.3522638828
190	0.3522580107
191	0.3522412269
192	0.3522368587
193	0.352234394
194	0.3522136819
195	0.3522077361
196	0.3522075971
197	0.3521961872
198	0.3521703713
199	0.3521510837
200	0.352127623
201	0.3521155867
202	0.3521110934
203	0.3521108826
204	0.3521004537
205	0.3520993347
206	0.3520895416
207	0.3520811862
208	0.3520766597
209	0.352061977
210	0.3520428811
211	0.3520329821
212	0.3520253218
213	0.3520251043
214	0.3520038017
215	0.3519967681
216	0.3519827632
217	0.3519794456
218	0.3519645202
219	0.3519451429
220	0.3519364096
221	0.3519329889
222	0.351925369
223	0.3519176848
224	0.3519123215
225	0.3519098175
226	0.351906662
227	0.351889153
228	0.3518617623
229	0.3518305211
230	0.3518215226
231	0.351815896
232	0.3518023717
233	0.3517934057
234	0.3517805439
235	0.3517602082
236	0.3517547641
237	0.3517482547
238	0.3517397395
239	0.3517050694
240	0.3516968118
241	0.3516910395
242	0.3516835916
243	0.3516740679
244	0.3516710236
245	0.3516577207
246	0.3516502768
247	0.3516431969
248	0.3516199612
249	0.3516124816
250	0.351609066
251	0.3516038327
252	0.3515787668
253	0.351565092
254	0.3515412046
255	0.351533703
256	0.3515241812
257	0.3515157993
258	0.3515096138
259	0.3514910803
260	0.3514787
261	0.3514618679
262	0.3514489104
263	0.3514315603
264	0.351420576
265	0.3514099914
266	0.3514000409
267	0.3513921108
268	0.3513877726
269	0.3513869806
270	0.3513834831
271	0.3513772288
272	0.3513648227
273	0.3513611772
274	0.3513549611
275	0.3513512875
276	0.3513494196
277	0.3513335554
278	0.351317643
279	0.3513163468
280	0.3512959583
281	0.35128624
282	0.3512785027
283	0.3512687449
284	0.3512611478
285	0.3512469659
286	0.3512370148
287	0.3512317181
288	0.3512286255
289	0.3512153567
290	0.3512114059
291	0.3511909551
292	0.3511894938
293	0.3511693518
294	0.3511600612
295	0.3511230731
296	0.3511227196
297	0.3510989798
298	0.3510860752
299	0.3510683871
300	0.3510653546
301	0.3510521133
302	0.3510245072
303	0.3510213814
304	0.3510141508
305	0.3510101396
306	0.3510096365
307	0.3510060353
308	0.3510030982
309	0.3509953242
310	0.3509828103
311	0.3509809559
312	0.35097266
313	0.3509704158
314	0.350967352
315	0.3509628304
316	0.3509598612
317	0.3509567572
318	0.3509421729
319	0.3509328986
320	0.3509319769
321	0.3509242333
322	0.3509014477
323	0.3508867567
324	0.3508834589
325	0.3508714784
326	0.3508706709
327	0.3508562736
328	0.3508531858
329	0.3508324119
330	0.3508201406
331	0.350817567
332	0.3507913546
333	0.3507893228
334	0.3507871825
335	0.3507796513
336	0.3507788576
337	0.3507743564
338	0.3507584897
339	0.3507488739
340	0.3507469165
341	0.3507460535
342	0.3507426827
343	0.3507384725
344	0.3507355128
345	0.3507328019
346	0.350721319
347	0.3507141876
348	0.3507016599
349	0.3506979997
350	0.350691358
351	0.3506871805
352	0.3506820146
353	0.3506723666
354	0.350668524
355	0.35066752
356	0.3506606125
357	0.350652443
358	0.3506161461
359	0.3505958665
360	0.3505780251
361	0.3505543581
362	0.3505469278
363	0.3505344729
364	0.3505221709
365	0.3505029991
366	0.3504863736
367	0.350485515
368	0.3504820506
369	0.350470608
370	0.3504699183
371	0.3504611499
372	0.350436918
373	0.3504346798
374	0.3504225004
375	0.350413879
376	0.3504066076
377	0.3504017311
378	0.3503860711
379	0.3503746855
380	0.3503678693
381	0.3503621829
382	0.3503510165
383	0.3503236463
384	0.3503139375
385	0.3502939254
386	0.3502918666
387	0.350290197
388	0.3502805465
389	0.3502707733
390	0.3502626712
391	0.3502589279
392	0.3502576256
393	0.3502546338
394	0.3502501774
395	0.3502411243
396	0.3502406643
397	0.3502387558
398	0.3502356171
399	0.350229248
400	0.3502243349
401	0.3502103479
402	0.3501815065
403	0.3501798842
404	0.3501734294
405	0.3501637892
406	0.3501416486
407	0.3501382564
408	0.350134207
409	0.350127884
410	0.3501255327
411	0.3501071606
412	0.3501032003
413	0.3500960809
414	0.3500837623
415	0.3500710148
416	0.3500649561
417	0.3500643334
418	0.3500605796
419	0.3500572373
420	0.3500519823
421	0.3500315408
422	0.3500282662
423	0.3500279686
424	0.3500230214
425	0.3500167796
426	0.3500057176
427	0.349994746
428	0.349988661
429	0.3499877149
430	0.3499747119
431	0.3499688058
432	0.3499410993
433	0.3499265378
434	0.3499091833
435	0.3499071061
436	0.3498955178
437	0.3498742907
438	0.3498728048
439	0.3498628752
440	0.3498578373
441	0.349854711
442	0.3498412845
443	0.3498221171
444	0.3498047448
445	0.3498027601
446	0.3497828726
447	0.3497734622
448	0.3497701198
449	0.349744696
450	0.3497370881
451	0.3497300383
452	0.3497209568
453	0.3497139098
454	0.3496977941
455	0.3496972307
456	0.3496858116
457	0.3496773854
458	0.349669854
459	0.3496493068
460	0.3496379019
461	0.3496195649
462	0.3496144532
463	0.3496125401
464	0.3496022422
465	0.3495922698
466	0.3495785589
467	0.3495477607
468	0.3495422928
469	0.3495349002
470	0.3495291333
471	0.3494986291
472	0.349493683
473	0.3494842597
474	0.3494840533
475	0.3494821105
476	0.3494640336
477	0.3494578116
478	0.3494373766
479	0.3494362862
480	0.349426044
481	0.3494153878
482	0.3494066062
483	0.349405113
484	0.3493978869
485	0.3493816697
486	0.3493677653
487	0.3493396144
488	0.3493149677
489	0.3492977236
490	0.3492957616
491	0.3492868947
492	0.3492763385
493	0.3492693536
494	0.3492339519
495	0.3492246703
496	0.3492062218
497	0.3492052424
498	0.3491993592
499	0.3491905786
500	0.349189368
501	0.3491720123
502	0.3491637051
503	0.3491594831
504	0.3491455117
505	0.3491270008
506	0.3491124526
507	0.3491012336
508	0.3491000304
509	0.3490908672
510	0.3490800166
511	0.3490770198
512	0.3490653324
513	0.3490574913
514	0.3490469646
515	0.3490451856
516	0.3490432023
517	0.3490050459
518	0.3490041079
519	0.3490020254
520	0.3489978523
521	0.3489840165
522	0.3489825592
523	0.3489800401
524	0.3489591848
525	0.3489535025
526	0.3489498003
527	0.3489344583
528	0.3489300372
529	0.3489249969
530	0.3489221583
531	0.3489214303
532	0.3489126707
533	0.3489086666
534	0.348893111
535	0.348890803
536	0.3488680637
537	0.3488485239
538	0.3488425762
539	0.3488370544
540	0.3488016896
541	0.3487799704
542	0.3487740504
543	0.3487534306
544	0.3487473859
545	0.3487424496
546	0.3487330643
547	0.3487211261
548	0.3486996726
549	0.3486881595
550	0.3486672431
551	0.3486609681
552	0.3486489986
553	0.34863702
554	0.348635477
555	0.3486266098
556	0.3486211841
557	0.3486024669
558	0.3485837008
559	0.348570101
560	0.34856023
561	0.3485467032
562	0.348538436
563	0.3485378704
564	0.3485244308
565	0.3485082488
566	0.3484980869
567	0.3484958151
568	0.3484936946
569	0.3484925586
570	0.3484894466
571	0.3484834292
572	0.348477245
573	0.3484732459
574	0.3484604061
575	0.3484516077
576	0.3484431235
577	0.348430975
578	0.3484293357
579	0.3484283035
580	0.3484085633
581	0.3484072436
582	0.3484019579
583	0.3483991247
584	0.3483929051
585	0.3483795088
586	0.3483760034
587	0.3483743737
588	0.348359207
589	0.3483474219
590	0.3483399612
591	0.3483391914
592	0.3483294131
593	0.3483237496
594	0.3483139388
595	0.3483114283
596	0.348304935
597	0.3482962565
598	0.3482921395
599	0.3482900315
600	0.3482821032
601	0.3482757984
602	0.3482601333
603	0.3482583267
604	0.3482414305
605	0.3482380034
606	0.3482336434
607	0.3482334487
608	0.3482196043
609	0.3482099269
610	0.3482037182
611	0.348200542
612	0.3481905936
613	0.3481800214
614	0.3481783411
615	0.3481660237
616	0.3481610928
617	0.3481561585
618	0.3481520637
619	0.348147157
620	0.3481305561
621	0.34811716
622	0.3481140105
623	0.3480926154
624	0.3480878301
625	0.3480877392
626	0.3480796215
627	0.3480678501
628	0.3480632368
629	0.3480618921
630	0.348050495
631	0.3480425015
632	0.3480396928
633	0.3480130716
634	0.3480093329
635	0.3479907338
636	0.3479799794
637	0.3479709557
638	0.3479658318
639	0.3479569299
640	0.3479560534
641	0.3479384809
642	0.3479261937
643	0.3479169884
644	0.3479113551
645	0.3479056998
646	0.3479033174
647	0.3478991486
648	0.3478941606
649	0.3478842955
650	0.3478760389
651	0.3478632803
652	0.3478619716
653	0.3478407354
654	0.3478335669
655	0.3478266496
656	0.3478171439
657	0.3478126479
658	0.3478067964
659	0.3477831112
660	0.3477623515
661	0.3477600273
662	0.347745543
663	0.3477402122
664	0.3477385756
665	0.3477198274
666	0.3477113384
667	0.3477067638
668	0.3476988045
669	0.3476960264
670	0.347686629
671	0.3476700703
672	0.3476598945
673	0.3476572599
674	0.3476515993
675	0.3476499659
676	0.3476341107
677	0.3476278567
678	0.3476217477
679	0.3476141551
680	0.3476010218
681	0.3475964592
682	0.3475741595
683	0.3475622565
684	0.3475613249
685	0.3475484391
686	0.3475425001
687	0.3475312033
688	0.3475294362
689	0.3475284177
690	0.3475274448
691	0.3475062538
692	0.3475009277
693	0.3474863483
694	0.3474848613
695	0.347476159
696	0.3474620667
697	0.3474524915
698	0.3474512217
699	0.3474404164
700	0.3474286319
701	0.3474263708
702	0.3474172935
703	0.3474150465
704	0.3474145228
705	0.3474058213
706	0.347405696
707	0.347399149
708	0.3473965677
709	0.3473833029
710	0.3473795369
711	0.3473782057
712	0.3473668673
713	0.3473626789
714	0.3473535233
715	0.3473401658
716	0.3473307215
717	0.3473228879
718	0.3473079301
719	0.3473029401
720	0.3472883856
721	0.3472807292
722	0.347268455
723	0.3472540802
724	0.3472436139
725	0.347235329
726	0.3472270952
727	0.347220551
728	0.3472038434
729	0.3471947412
730	0.3471756165
731	0.3471740854
732	0.3471676941
733	0.3471599071
734	0.3471433577
735	0.3471392341
736	0.3471045231
737	0.3470968726
738	0.3470946322
739	0.3470815848
740	0.347069764
741	0.3470402481
742	0.3470260579
743	0.3470232965
744	0.3470181238
745	0.3470173027
746	0.3470083358
747	0.3470053072
748	0.3470039467
749	0.3469912651
750	0.34698474
751	0.3469790636
752	0.3469698922
753	0.3469630589
754	0.3469537705
755	0.3469464859
756	0.3469434102
757	0.3469373475
758	0.3469240349
759	0.3469115862
760	0.3469102746
761	0.346901008
762	0.3468929721
763	0.3468856201
764	0.346871099
765	0.3468685302
766	0.3468638531
767	0.3468515774
768	0.3468474343
769	0.3468392799
770	0.3468286925
771	0.3468213035
772	0.3468060918
773	0.3468014349
774	0.34678704
775	0.3467804502
776	0.3467603883
777	0.3467494603
778	0.3467396754
779	0.3467340111
780	0.3467312282
781	0.3467077838
782	0.3467054658
783	0.3466929797
