iter	Passed	Remaining
0	213	213578
1	277	138630
2	466	155150
3	538	133981
4	576	114669
5	637	105682
6	695	98675
7	753	93482
8	793	87393
9	847	83892
10	955	85950
11	1079	88887
12	1164	88388
13	1229	86591
14	1327	87194
15	1423	87551
16	1650	95445
17	1788	97559
18	1858	95954
19	1928	94480
20	1990	92793
21	2043	90825
22	2094	88967
23	2149	87412
24	2344	91419
25	2443	91536
26	2501	90144
27	2566	89078
28	2632	88141
29	2703	87415
30	2759	86262
31	2807	84936
32	2990	87628
33	3067	87141
34	3117	85964
35	3182	85212
36	3234	84191
37	3283	83121
38	3340	82321
39	3446	82710
40	3607	84384
41	3682	83990
42	3702	82411
43	3754	81572
44	3819	81050
45	3886	80595
46	3961	80325
47	3986	79064
48	4144	80442
49	4239	80550
50	4287	79789
51	4340	79138
52	4380	78277
53	4406	77189
54	4461	76655
55	4511	76052
56	4641	76790
57	4711	76522
58	4823	76934
59	4907	76884
60	4965	76440
61	5013	75849
62	5075	75488
63	5137	75135
64	5189	74643
65	5256	74393
66	5359	74638
67	5482	75141
68	5540	74753
69	5595	74339
70	5663	74110
71	5722	73751
72	5792	73554
73	5862	73357
74	5881	72544
75	6042	73461
76	6111	73261
77	6163	72860
78	6225	72579
79	6292	72358
80	6350	72056
81	6425	71937
82	6603	72953
83	6671	72755
84	6726	72407
85	6778	72043
86	6840	71782
87	6892	71427
88	6944	71084
89	6996	70738
90	7096	70887
91	7161	70677
92	7207	70289
93	7278	70156
94	7330	69831
95	7376	69462
96	7436	69229
97	7491	68952
98	7539	68614
99	7610	68493
100	7726	68770
101	7863	69227
102	7924	69013
103	7974	68699
104	8026	68417
105	8100	68322
106	8129	67843
107	8197	67703
108	8258	67510
109	8435	68252
110	8498	68067
111	8552	67811
112	8609	67584
113	8659	67297
114	8741	67270
115	8815	67180
116	8988	67835
117	9105	68061
118	9157	67796
119	9207	67524
120	9299	67558
121	9377	67488
122	9488	67654
123	9708	68585
124	9724	68073
125	9778	67829
126	9865	67813
127	9938	67703
128	10021	67667
129	10104	67623
130	10322	68472
131	10382	68272
132	10432	68007
133	10509	67922
134	10604	67946
135	10672	67798
